nameEN,nameTR,category,equipment,rxWeightMale,rxWeightFemale,supportsWeight,supportsReps,supportsTime,supportsDistance,wodSuitability,instructions,scalingNotes
Pull-ups,Barfiks,Gymnastics,Pull-up Bar,,,false,true,false,false,10,"Strict or kipping pull-ups","Assistance bands or jumping pull-ups"
Push-ups,Şınav,Bodyweight,None,,,false,true,false,false,10,"Chest to ground each rep","Knee push-ups or incline push-ups"
Air Squats,Hava Squat,Bodyweight,None,,,false,true,false,false,10,"Hip crease below knee","Partial range of motion or assisted squats"
Burpees,Burpee,Bodyweight,None,,,false,true,false,false,10,"Chest to floor full extension","Step back/up instead of jumping"
Box Jumps,Box Jump,Plyometric,Box,,,false,true,false,false,9,"Full hip extension on top","Step ups or lower box"
Wall Balls,Wall Ball,Functional,Medicine Ball,9kg,6kg,true,true,false,false,10,"Target 10ft/9ft","Lighter ball or lower target"
Kettlebell Swings,Kettlebell Swing,Functional,Kettlebell,24kg,16kg,true,true,false,false,10,"Hip drive eye level","Lighter weight or Russian swings"
Double-unders,Double Under,Cardio,Jump Rope,,,false,true,false,false,8,"Two rope passes per jump","Single unders or penguin taps"
Toes-to-bar,Toes to Bar,Gymnastics,Pull-up Bar,,,false,true,false,false,9,"Toes touch bar","Knee raises or V-ups"
Muscle-ups,Muscle-up,Gymnastics,Rings,,,false,true,false,false,7,"Full transition","Jumping muscle-ups or ring dips"
Thrusters,Thruster,Olympic,Barbell,43kg,30kg,true,true,false,false,10,"Front squat to overhead press","Lighter weight or dumbbells"
Clean and Jerk,Clean and Jerk,Olympic,Barbell,61kg,43kg,true,true,false,false,8,"From floor to overhead","Power clean and push press"
Snatch,Snatch,Olympic,Barbell,61kg,43kg,true,true,false,false,7,"From floor to overhead in one motion","Muscle snatch or overhead squat"
Deadlifts,Deadlift,Powerlifting,Barbell,102kg,70kg,true,true,false,false,10,"Hip hinge movement","Lighter weight or sumo stance"
Front Squats,Front Squat,Powerlifting,Barbell,70kg,48kg,true,true,false,false,9,"Elbows high rack position","Goblet squats or lighter weight"
Back Squats,Back Squat,Powerlifting,Barbell,84kg,57kg,true,true,false,false,8,"Hip crease below knee","Bodyweight or lighter weight"
Overhead Squats,Overhead Squat,Olympic,Barbell,43kg,30kg,true,true,false,false,7,"Active shoulders overhead","PVC pipe or lighter weight"
Handstand Push-ups,Handstand Push-up,Gymnastics,Wall,,,false,true,false,false,6,"Head touches ground","Pike push-ups or box HSPU"
Ring Dips,Ring Dip,Gymnastics,Rings,,,false,true,false,false,8,"Full lockout","Band assistance or box dips"
Rope Climbs,Rope Climb,Gymnastics,Rope,,,false,true,false,false,7,"15ft rope legless","Rope pulls or assisted climbs"
Running,Koşu,Cardio,None,,,false,false,true,true,10,"Steady pace or intervals","Walk/jog intervals"
Rowing,Kürek,Cardio,Concept2 Rower,,,false,false,true,true,10,"Strong leg drive","Reduce distance or pace"
Assault Bike,Assault Bike,Cardio,Assault Bike,,,false,false,true,true,9,"Full body engagement","Reduce time or intensity"
Power Clean,Power Clean,Olympic,Barbell,70kg,48kg,true,true,false,false,8,"Clean to front rack","Hang power clean or lighter"
Power Snatch,Power Snatch,Olympic,Barbell,52kg,35kg,true,true,false,false,7,"Catch in quarter squat","Hang power snatch or lighter"
Bench Press,Bench Press,Powerlifting,Barbell,84kg,57kg,true,true,false,false,6,"Touch chest full extension","Dumbbell press or lighter"
Strict Press,Strict Press,Powerlifting,Barbell,52kg,35kg,true,true,false,false,8,"No leg drive","Dumbbell press or lighter"
Push Press,Push Press,Olympic,Barbell,70kg,48kg,true,true,false,false,9,"Leg drive to overhead","Strict press or lighter"
Push Jerk,Push Jerk,Olympic,Barbell,70kg,48kg,true,true,false,false,7,"Catch in quarter squat","Push press or lighter"
