foodNameEN,aliasEN,aliasTR,aliasDE,aliasES,aliasFR,aliasIT,aliasID,aliasPL,aliasPT,language
Chicken Breast,chicken breast,tavuk göğsü,hähnchenbrust,pechuga de pollo,blanc de poulet,petto di pollo,dada ayam,pierś kurczaka,peito de frango,all
Chicken Breast,chicken,tavuk,hähnchen,pollo,poulet,pollo,ayam,kurczak,frango,all
Chicken Breast,breast,göğüs,brust,pechuga,blanc,petto,dada,pierś,peito,all
Ground Beef 85% Lean,ground beef,kıyma,hackfleisch,carne picada,bœuf haché,carne macinata,daging giling,mielona wołowina,carne moída,all
Ground Beef 85% Lean,beef,dana,rindfleisch,ternera,bœuf,manzo,sapi,wołowina,carne,all
Ground Beef 85% Lean,minced meat,kıyma et,hackfleisch,carne picada,viande hachée,carne tritata,daging cincang,mięso mielone,carne moída,all
Lamb Chops,lamb,kuzu,lamm,cordero,agneau,agnello,domba,jagnięcina,cordeiro,all
Lamb Chops,chops,pirzola,koteletts,chuletas,côtelettes,costolette,potongan,kotlety,costeletas,all
Turkey Breast,turkey,hindi,truthahn,pavo,dinde,tacchino,kalkun,indyk,peru,all
Beef Tenderloin,tenderloin,bonfile,filet,solomillo,filet,filetto,has dalam,polędwica,lombo,all
Beef Tenderloin,filet,bonfile,filet,filete,filet,filetto,fillet,filet,filé,all
Salmon,salmon,somon,lachs,salmón,saumon,salmone,salmon,łosoś,salmão,all
Salmon,fish,balık,fisch,pescado,poisson,pesce,ikan,ryba,peixe,all
Tuna in Water,tuna,ton,thunfisch,atún,thon,tonno,tuna,tuńczyk,atum,all
Tuna in Water,canned tuna,konserve ton,thunfisch dose,atún en lata,thon en conserve,tonno in scatola,tuna kalengan,tuńczyk w puszce,atum enlatado,all
Brown Rice,brown rice,esmer pirinç,brauner reis,arroz integral,riz complet,riso integrale,beras merah,ryż brązowy,arroz integral,all
Brown Rice,rice,pirinç,reis,arroz,riz,riso,beras,ryż,arroz,all
Brown Rice,wholegrain rice,tam tahıl pirinç,vollkornreis,arroz integral,riz complet,riso integrale,beras gandum,ryż pełnoziarnisty,arroz integral,all
White Rice,white rice,beyaz pirinç,weißer reis,arroz blanco,riz blanc,riso bianco,beras putih,ryż biały,arroz branco,all
Quinoa,quinoa,kinoa,quinoa,quinoa,quinoa,quinoa,quinoa,quinoa,quinoa,all
Quinoa,superfood,süper gıda,superfood,superalimento,superaliment,superfood,superfood,superfood,superalimento,all
Oats,oats,yulaf,hafer,avena,avoine,avena,gandum,owies,aveia,all
Oats,oatmeal,yulaf ezmesi,haferflocken,harina de avena,flocons d'avoine,fiocchi d'avena,oatmeal,płatki owsiane,flocos de aveia,all
Bulgur,bulgur,bulgur,bulgur,bulgur,boulgour,bulgur,bulgur,bulgur,bulgur,all
Bulgur,cracked wheat,kırık buğday,geschroteter weizen,trigo partido,blé concassé,grano spezzato,gandum pecah,kasza bulgur,trigo partido,all
Whole Wheat Bread,bread,ekmek,brot,pan,pain,pane,roti,chleb,pão,all
Whole Wheat Bread,whole wheat,tam buğday,vollkorn,trigo integral,blé complet,grano intero,gandum utuh,pełnoziarnisty,trigo integral,all
Pasta,pasta,makarna,pasta,pasta,pâtes,pasta,pasta,makaron,massa,all
Pasta,noodles,şehriye,nudeln,fideos,nouilles,tagliatelle,mie,makaron,macarrão,all
Sweet Potato,sweet potato,tatlı patates,süßkartoffel,batata,patate douce,patata dolce,ubi jalar,batat,batata doce,all
Sweet Potato,yam,tatlı patates,süßkartoffel,ñame,igname,patata americana,ubi,batat,inhame,all
Potato,potato,patates,kartoffel,patata,pomme de terre,patata,kentang,ziemniak,batata,all
Greek Yogurt,yogurt,yoğurt,joghurt,yogur,yaourt,yogurt,yogurt,jogurt,iogurte,all
Greek Yogurt,greek yogurt,süzme yoğurt,griechischer joghurt,yogur griego,yaourt grec,yogurt greco,yogurt yunani,jogurt grecki,iogurte grego,all
Milk,milk,süt,milch,leche,lait,latte,susu,mleko,leite,all
Milk,dairy,süt ürünü,milchprodukt,lácteo,produit laitier,latticino,produk susu,nabiał,laticínio,all
Cheese,cheese,peynir,käse,queso,fromage,formaggio,keju,ser,queijo,all
Almonds,almonds,badem,mandeln,almendras,amandes,mandorle,almond,migdały,amêndoas,all
Almonds,nuts,fındık,nüsse,frutos secos,noix,noci,kacang,orzechy,nozes,all
Walnuts,walnuts,ceviz,walnüsse,nueces,noix,noci,kenari,orzechy włoskie,nozes,all
